slug,name,sku,price,description,categories,image_url,audio_url,asset_code,album,track_number,raw_slug,metadata_path
monumental,Monumental,HAWK-FD-10,0.69,"Digital download of ""Monumental"" by Hawk Eye The Rapper.",01_Full_Disclosure,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-FD-10/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-FD-10/monumental.mp3,HAWK-FD-10,01_Full_Disclosure,10,monumental,HAWK-ARS-02/_workspace/01_Full_Disclosure/10_monumental/data/metadata.json
trafficked,Trafficked,HAWK-FD-11,0.69,"Digital download of ""Trafficked"" by Hawk Eye The Rapper.",01_Full_Disclosure,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-FD-11/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-FD-11/trafficked.mp3,HAWK-FD-11,01_Full_Disclosure,11,trafficked,HAWK-ARS-02/_workspace/01_Full_Disclosure/11_trafficked/data/metadata.json
trafficked-web,Trafficked Web,HAWK-FD-11,0.69,"Digital download of ""Trafficked"" by Hawk Eye The Rapper.",01_Full_Disclosure,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-FD-11/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-FD-11/trafficked.mp3,HAWK-FD-11,01_Full_Disclosure,11,trafficked-web,HAWK-ARS-02/_workspace/01_Full_Disclosure/11_trafficked-web/data/metadata.json
hocus-pocus,Hocus Pocus,HAWK-FD-12,0.69,"Digital download of ""Hocus Pocus"" by Hawk Eye The Rapper.",01_Full_Disclosure,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-FD-12/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-FD-12/hocus_pocus.mp3,HAWK-FD-12,01_Full_Disclosure,12,hocus-pocus,HAWK-ARS-02/_workspace/01_Full_Disclosure/12_hocus-pocus/data/metadata.json
syntax,Syntax,HAWK-FD-13,0.69,"Digital download of ""Syntax"" by Hawk Eye The Rapper.",01_Full_Disclosure,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-FD-13/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-FD-13/syntax.mp3,HAWK-FD-13,01_Full_Disclosure,13,syntax,HAWK-ARS-02/_workspace/01_Full_Disclosure/13_syntax/data/metadata.json
stay-real,Stay Real,HAWK-FD-14,0.69,"Digital download of ""Stay Real"" by Hawk Eye The Rapper.",01_Full_Disclosure,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-FD-14/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-FD-14/stay_real.mp3,HAWK-FD-14,01_Full_Disclosure,14,stay-real,HAWK-ARS-02/_workspace/01_Full_Disclosure/14_stay-real/data/metadata.json
the-story-of-our-former-glory,The Story Of Our Former Glory,HAWK-FD-15,0.69,Digital download of “The Story Of Our Former Glory” by Hawk Eye The Rapper.,01_Full_Disclosure,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-FD-15/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-FD-15/the_story_of_our_former_glory.mp3,HAWK-FD-15,01_Full_Disclosure,15,the-story-of-our-former-glory,HAWK-ARS-02/_workspace/01_Full_Disclosure/15_the-story-of-our-former-glory/data/metadata.json
warning-shots,Warning Shots,HAWK-BAP-01,0.69,"Digital download of ""Warning Shots"" by Hawk Eye The Rapper.",02_Behold_A_Pale_Horse,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-BAP-01/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-BAP-01/warning_shots.mp3,HAWK-BAP-01,02_Behold_A_Pale_Horse,1,warning-shots,HAWK-ARS-02/_workspace/02_Behold_A_Pale_Horse/01_warning-shots/data/metadata.json
warning-shots-checkpoint,Warning Shots-Checkpoint,HAWK-BAP-01,0.69,"Digital download of ""Warning Shots"" by Hawk Eye The Rapper.",02_Behold_A_Pale_Horse,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-BAP-01/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-BAP-01/warning_shots.mp3,HAWK-BAP-01,02_Behold_A_Pale_Horse,1,warning-shots-checkpoint,HAWK-ARS-02/_workspace/02_Behold_A_Pale_Horse/01_warning-shots-checkpoint/data/metadata.json
behold-a-pale-horse,Behold A Pale Horse,HAWK-BAP-02,0.69,"Digital download of ""Behold A Pale Horse"" by Hawk Eye The Rapper.",02_Behold_A_Pale_Horse,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-BAP-02/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-BAP-02/behold_a_pale_horse.mp3,HAWK-BAP-02,02_Behold_A_Pale_Horse,2,behold-a-pale-horse,HAWK-ARS-02/_workspace/02_Behold_A_Pale_Horse/02_behold-a-pale-horse/data/metadata.json
