slug,name,sku,price,description,categories,image_url,audio_url,asset_code,album,track_number,raw_slug,metadata_path
the-shadow-is-rising,The Shadow Is Rising,HAWK-SB-09,0.69,"Digital download of ""Shadow Is Rising"" by Hawk Eye The Rapper.",02_Shadow_Banned,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-SB-09/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-SB-09/the_shadow_is_rising.mp3,HAWK-SB-09,02_Shadow_Banned,9,the-shadow-is-rising,HAWK-ARS-03/_workspace/02_Shadow_Banned/09_the-shadow-is-rising/data/metadata.json
when-shit-gets-real,When Shit Gets Real,HAWK-SB-10,0.69,"Digital download of ""When Shit Gets Real"" by Hawk Eye The Rapper.",02_Shadow_Banned,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-SB-10/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-SB-10/when_shit_gets_real.mp3,HAWK-SB-10,02_Shadow_Banned,10,when-shit-gets-real,HAWK-ARS-03/_workspace/02_Shadow_Banned/10_when-shit-gets-real/data/metadata.json
synthesis,Synthesis,HAWK-SB-11,0.69,"Digital download of ""Synthesis"" by Hawk Eye The Rapper.",02_Shadow_Banned,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-SB-11/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-SB-11/synthesis.mp3,HAWK-SB-11,02_Shadow_Banned,11,synthesis,HAWK-ARS-03/_workspace/02_Shadow_Banned/11_synthesis/data/metadata.json
invokation,Invokation,HAWK-SB-12,0.69,"Digital download of ""Invokation"" by Hawk Eye The Rapper.",02_Shadow_Banned,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-SB-12/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-SB-12/invokation.mp3,HAWK-SB-12,02_Shadow_Banned,12,invokation,HAWK-ARS-03/_workspace/02_Shadow_Banned/12_invokation/data/metadata.json
krystal-klear,Krystal Klear,HAWK-SB-13,0.69,"Digital download of ""Krystal Klear"" by Hawk Eye The Rapper.",02_Shadow_Banned,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-SB-13/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-SB-13/krystal_klear.mp3,HAWK-SB-13,02_Shadow_Banned,13,krystal-klear,HAWK-ARS-03/_workspace/02_Shadow_Banned/13_krystal-klear/data/metadata.json
full-disclosure-cd,Full Disclosure (CD),CD-HAWK-FD,14.99 USD,Physical CD. Tracklist: 1. Swordfish; 2. Mic Check; 3. Shakur; 4. Last One Left; 5. Full Disclosure; 6. Lifted; 7. Fuck Society; 8. Ashes; 9. Haunted; 10. Monumental; 11. Trafficked; 12. Hocus Pocus; 13. Syntax; 14. Stay Real; 15. The Story Of Our Former Glory,CD,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-FD-01/album_art.png,,HAWK-FD,01_Full_Disclosure,,full-disclosure-cd,
malicious-ep-cd,Malicious EP (CD),CD-HAWK-ME,14.99 USD,Physical CD. Tracklist: 1. Malicious; 2. Gang Shit; 3. The Motherfucking Problem; 4. Im Him,CD,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-ME-01/album_art.png,,HAWK-ME,01_Malicious_EP,,malicious-ep-cd,
singles-cd,Singles (CD),CD-HAWK-SG,14.99 USD,Physical CD. Tracklist: 1. Will You Listen; 2. Psyops; 3. Incantations; 4. Mind Kontrol; 5. Return Of Kings; 6. Politicians; 7. The Vow,CD,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-SG-01/album_art.png,,HAWK-SG,01_Singles,,singles-cd,
behold-a-pale-horse-cd,Behold A Pale Horse (CD),CD-HAWK-BAP,14.99 USD,Physical CD. Tracklist: 1. Warning Shots; 2. Behold A Pale Horse; 3. Kamikaze; 4. Whistleblower; 5. Superstitions; 6. Scripture; 7. Menace To Society; 8. Semi-Automatic; 9. Reverse This Curse; 10. Kt; 11. The Story Celebrated Throughout Time,CD,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-BAP-01/album_art.png,,HAWK-BAP,02_Behold_A_Pale_Horse,,behold-a-pale-horse-cd,
shadow-banned-cd,Shadow Banned (CD),CD-HAWK-SB,14.99 USD,Physical CD. Tracklist: 1. Psychological Warfare; 2. Down The Rabbit Hole; 3. Domestic Terrorist; 4. Relentless; 5. Never Heard Of Me; 6. Spiteful Poetry; 7. Devils In The Details; 8. The Game; 9. The Shadow Is Rising; 10. When Shit Gets Real; 11. Synthesis; 12. Invokation; 13. Krystal Klear,CD,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-SB-01/album_art.png,,HAWK-SB,02_Shadow_Banned,,shadow-banned-cd,
milabs-cd,MiLabs (CD),CD-HAWK-M,14.99 USD,Physical CD. Tracklist: 1. Soft Disclosure; 2. Abreactions; 3. Eyes Wide Open; 4. Delta Squad; 5. Implants; 6. Illuminati; 7. Fema; 8. The Antidote; 9. Avalanche; 10. Artificial Intelligence; 11. Legion; 12. When My Elites Surround; 13. Reincarnated 2 Resist,CD,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-M-01/album_art.png,,HAWK-M,03_MiLabs,,milabs-cd,
hawk-vision-t-shirt,Hawk Vision T-Shirt,HE-001,25.0,T-shirt featuring a hawk's eye with musical notes in graffiti style. Color scheme: Black and Neon Green.,Hawk Eye The Rapper > Apparel,https://assets.omniversalmedia.vip/src/images/HE-001/Hawk_Vision_T-Shirt_front.png,,HE-001,,,hawk-vision-t-shirt,
graffiti-eye-long-sleeve,Graffiti Eye Long Sleeve,HE-002,30.0,Long sleeve shirt with Hawk Eye in bold graffiti across the chest. Color scheme: Gray and Red.,Hawk Eye The Rapper > Apparel,https://assets.omniversalmedia.vip/src/images/HE-002/Graffiti_Eye_Long_Sleeve_front.png,,HE-002,,,graffiti-eye-long-sleeve,
visionary-lyrics-hoodie,Visionary Lyrics Hoodie,HE-003,50.0,Hoodie displaying stylized lyrics forming a hawk silhouette. Color scheme: Black and Gold.,Hawk Eye The Rapper > Apparel,https://assets.omniversalmedia.vip/src/images/HE-003/Visionary_Lyrics_Hoodie_front.png,,HE-003,,,visionary-lyrics-hoodie,
winged-mic-bomber-jacket,Winged Mic Bomber Jacket,HE-004,60.0,Bomber jacket with a winged microphone graphic on the back. Color scheme: Army Green and White.,Hawk Eye The Rapper > Apparel,https://assets.omniversalmedia.vip/src/images/HE-004/Winged_Mic_Bomber_Jacket_front.png,,HE-004,,,winged-mic-bomber-jacket,
hawk-emblem-jersey,Hawk Emblem Jersey,HE-005,45.0,Sports jersey featuring a hawk emblem and number print. Color scheme: Black and Orange.,Hawk Eye The Rapper > Apparel,https://assets.omniversalmedia.vip/src/images/HE-005/Hawk_Emblem_Jersey_front.png,,HE-005,,,hawk-emblem-jersey,
urban-camo-snapback-cap,Urban Camo Snapback Cap,HE-006,30.0,Camouflage-pattern snapback cap with hawk logo embroidery. Color scheme: Green Camo and Black.,Hawk Eye The Rapper > Accessories,https://assets.omniversalmedia.vip/src/images/HE-006/Urban_Camo_Snapback_Cap_front.png,,HE-006,,,urban-camo-snapback-cap,
eye-of-the-hawk-phone-case,Eye of the Hawk Phone Case,HE-007,15.0,Phone case featuring a close-up hawk eye graphic. Color scheme: Black and Yellow.,Hawk Eye The Rapper > Accessories,https://assets.omniversalmedia.vip/src/images/HE-007/Eye_of_the_Hawk_Phone_Case_front.png,,HE-007,,,eye-of-the-hawk-phone-case,
golden-hawk-keychain,Golden Hawk Keychain,HE-008,10.0,Metal keychain with a golden hawk emblem charm. Color scheme: Gold and Black.,Hawk Eye The Rapper > Accessories,https://assets.omniversalmedia.vip/src/images/HE-008/Golden_Hawk_Keychain_front.png,,HE-008,,,golden-hawk-keychain,
hawk-eye-enamel-pin,Hawk Eye Enamel Pin,HE-009,8.0,Enamel pin of the Hawk Eye logo for jackets or bags. Color scheme: Black and Silver.,Hawk Eye The Rapper > Accessories,https://assets.omniversalmedia.vip/src/images/HE-009/Hawk_Eye_Enamel_Pin_front.png,,HE-009,,,hawk-eye-enamel-pin,
eye-on-the-prize-wristband,Eye on the Prize Wristband,HE-010,5.0,Black silicone wristband debossed with Eye on the Prize motto. Color scheme: Black and White.,Hawk Eye The Rapper > Accessories,https://assets.omniversalmedia.vip/src/images/HE-010/Eye_on_the_Prize_Wristband_front.png,,HE-010,,,eye-on-the-prize-wristband,
graffiti-tag-poster,Graffiti Tag Poster,HE-011,15.0,Poster with Hawk Eye's name in vibrant graffiti lettering. Color scheme: Multicolor on Black.,Hawk Eye The Rapper > Posters,https://assets.omniversalmedia.vip/src/images/HE-011/Graffiti_Tag_Poster_front.png,,HE-011,,,graffiti-tag-poster,
city-skyline-hawk-poster,City Skyline Hawk Poster,HE-012,15.0,Art poster of a hawk flying over an urban city skyline at dusk. Color scheme: Orange and Purple.,Hawk Eye The Rapper > Posters,https://assets.omniversalmedia.vip/src/images/HE-012/City_Skyline_Hawk_Poster_front.png,,HE-012,,,city-skyline-hawk-poster,
winged-mic-art-poster,Winged Mic Art Poster,HE-013,20.0,Illustrated poster of a microphone with wings and music notes. Color scheme: Black and White.,Hawk Eye The Rapper > Posters,https://assets.omniversalmedia.vip/src/images/HE-013/Winged_Mic_Art_Poster_front.png,,HE-013,,,winged-mic-art-poster,
hawk-eye-logo-sticker,Hawk Eye Logo Sticker,HE-014,3.0,Die-cut sticker of the Hawk Eye logo in full color. Color scheme: Brown and Yellow.,Hawk Eye The Rapper > Stickers,https://assets.omniversalmedia.vip/src/images/HE-014/Hawk_Eye_Logo_Sticker_front.png,,HE-014,,,hawk-eye-logo-sticker,
street-graffiti-sticker,Street Graffiti Sticker,HE-015,3.0,Sticker mimicking a graffiti tag of Hawk Eye's name. Color scheme: Red and Black.,Hawk Eye The Rapper > Stickers,https://assets.omniversalmedia.vip/src/images/HE-015/Street_Graffiti_Sticker_front.png,,HE-015,,,street-graffiti-sticker,
omniversal-logo-t-shirt,Omniversal Logo T-Shirt,OM-001,20.0,T-shirt with the Omniversal logo and a subtle galaxy background. Color scheme: Navy Blue and White.,Omniversal > Apparel,https://assets.omniversalmedia.vip/src/images/OM-001/Omniversal_Logo_T-Shirt_front.png,,OM-001,,,omniversal-logo-t-shirt,
galactic-dreams-t-shirt,Galactic Dreams T-Shirt,OM-002,25.0,Tee featuring a vibrant galaxy print with shooting stars. Color scheme: Black and Purple.,Omniversal > Apparel,https://assets.omniversalmedia.vip/src/images/OM-002/Galactic_Dreams_T-Shirt_front.png,,OM-002,,,galactic-dreams-t-shirt,
cosmic-unity-hoodie,Cosmic Unity Hoodie,OM-003,45.0,Hoodie displaying interconnected planets symbolizing unity. Color scheme: Dark Gray and Blue.,Omniversal > Apparel,https://assets.omniversalmedia.vip/src/images/OM-003/Cosmic_Unity_Hoodie_front.png,,OM-003,,,cosmic-unity-hoodie,
infinite-cosmos-long-sleeve,Infinite Cosmos Long Sleeve,OM-004,30.0,Long sleeve shirt with an infinite universe illustration on the back. Color scheme: Black and Teal.,Omniversal > Apparel,https://assets.omniversalmedia.vip/src/images/OM-004/Infinite_Cosmos_Long_Sleeve_front.png,,OM-004,,,infinite-cosmos-long-sleeve,
nebula-bomber-jacket,Nebula Bomber Jacket,OM-005,60.0,Bomber jacket featuring an all-over nebula cloud print. Color scheme: Purple and Pink.,Omniversal > Apparel,https://assets.omniversalmedia.vip/src/images/OM-005/Nebula_Bomber_Jacket_front.png,,OM-005,,,nebula-bomber-jacket,
galaxy-phone-case,Galaxy Phone Case,OM-006,15.0,Phone case with a colorful spiral galaxy design. Color scheme: Blue and Purple.,Omniversal > Accessories,https://assets.omniversalmedia.vip/src/images/OM-006/Galaxy_Phone_Case_front.png,,OM-006,,,galaxy-phone-case,
cosmic-coffee-mug,Cosmic Coffee Mug,OM-007,12.0,Ceramic mug printed with a starry night sky and Omniversal text. Color scheme: Black and Silver.,Omniversal > Accessories,https://assets.omniversalmedia.vip/src/images/OM-007/Cosmic_Coffee_Mug_front.png,,OM-007,,,cosmic-coffee-mug,
omniversal-logo-keychain,Omniversal Logo Keychain,OM-008,8.0,Acrylic keychain with the Omniversal emblem in full color. Color scheme: Blue and White.,Omniversal > Accessories,https://assets.omniversalmedia.vip/src/images/OM-008/Omniversal_Logo_Keychain_front.png,,OM-008,,,omniversal-logo-keychain,
celestial-canvas-tote-bag,Celestial Canvas Tote Bag,OM-009,15.0,Canvas tote bag printed with planets and stars artwork. Color scheme: Black and Multicolor.,Omniversal > Accessories,https://assets.omniversalmedia.vip/src/images/OM-009/Celestial_Canvas_Tote_Bag_front.png,,OM-009,,,celestial-canvas-tote-bag,
stardust-cap,Stardust Cap,OM-010,25.0,Black cap speckled with embroidered stars and Omniversal text. Color scheme: Black and White.,Omniversal > Accessories,https://assets.omniversalmedia.vip/src/images/OM-010/Stardust_Cap_front.png,,OM-010,,,stardust-cap,
omniversal-galaxy-poster,Omniversal Galaxy Poster,OM-011,15.0,Large poster showcasing a spiral galaxy with the Omniversal logo. Color scheme: Blue and Black.,Omniversal > Posters,https://assets.omniversalmedia.vip/src/images/OM-011/Omniversal_Galaxy_Poster_front.png,,OM-011,,,omniversal-galaxy-poster,
cosmic-mandala-poster,Cosmic Mandala Poster,OM-012,15.0,Poster of a mandala made of stars and planets. Color scheme: Purple and Gold.,Omniversal > Posters,https://assets.omniversalmedia.vip/src/images/OM-012/Cosmic_Mandala_Poster_front.png,,OM-012,,,cosmic-mandala-poster,
celestial-alignment-poster,Celestial Alignment Poster,OM-013,20.0,Artwork poster depicting planets aligned in a cosmic scene. Color scheme: Blue and Orange.,Omniversal > Posters,https://assets.omniversalmedia.vip/src/images/OM-013/Celestial_Alignment_Poster_front.png,,OM-013,,,celestial-alignment-poster,
omniversal-logo-sticker,Omniversal Logo Sticker,OM-014,3.0,Round sticker featuring the Omniversal logo and starfield background. Color scheme: Blue and White.,Omniversal > Stickers,https://assets.omniversalmedia.vip/src/images/OM-014/Omniversal_Logo_Sticker_front.png,,OM-014,,,omniversal-logo-sticker,
holographic-galaxy-sticker,Holographic Galaxy Sticker,OM-015,4.0,Holographic sticker with a mini galaxy and planets. Color scheme: Rainbow on Black.,Omniversal > Stickers,https://assets.omniversalmedia.vip/src/images/OM-015/Holographic_Galaxy_Sticker_front.png,,OM-015,,,holographic-galaxy-sticker,
phoenix-rebirth-t-shirt,Phoenix Rebirth T-Shirt,R2R-001,20.0,T-shirt featuring a fiery phoenix rising from ashes. Color scheme: Black and Orange.,Reincarnated2Resist > Apparel,https://assets.omniversalmedia.vip/src/images/R2R-001/Phoenix_Rebirth_T-Shirt_front.png,,R2R-001,,,phoenix-rebirth-t-shirt,
resist-forever-hoodie,Resist Forever Hoodie,R2R-002,45.0,Hoodie with bold RESIST text and flame accents. Color scheme: Black and Red.,Reincarnated2Resist > Apparel,https://assets.omniversalmedia.vip/src/images/R2R-002/Resist_Forever_Hoodie_front.png,,R2R-002,,,resist-forever-hoodie,
rebel-camo-jacket,Rebel Camo Jacket,R2R-003,50.0,Camouflage jacket adorned with the R2R emblem and patches. Color scheme: Green Camo and Black.,Reincarnated2Resist > Apparel,https://assets.omniversalmedia.vip/src/images/R2R-003/Rebel_Camo_Jacket_front.png,,R2R-003,,,rebel-camo-jacket,
no-chains-long-sleeve,No Chains Long Sleeve,R2R-004,30.0,Long sleeve tee showing broken chains to symbolize freedom. Color scheme: Gray and Black.,Reincarnated2Resist > Apparel,https://assets.omniversalmedia.vip/src/images/R2R-004/No_Chains_Long_Sleeve_front.png,,R2R-004,,,no-chains-long-sleeve,
resistance-symbol-tank-top,Resistance Symbol Tank Top,R2R-005,20.0,Tank top with a raised fist graphic and R2R tagline. Color scheme: White and Black.,Reincarnated2Resist > Apparel,https://assets.omniversalmedia.vip/src/images/R2R-005/Resistance_Symbol_Tank_Top_front.png,,R2R-005,,,resistance-symbol-tank-top,
resistance-fist-keychain,Resistance Fist Keychain,R2R-006,7.0,Metal keychain featuring a raised fist symbol charm. Color scheme: Silver and Black.,Reincarnated2Resist > Accessories,https://assets.omniversalmedia.vip/src/images/R2R-006/Resistance_Fist_Keychain_front.png,,R2R-006,,,resistance-fist-keychain,
phoenix-flame-enamel-pin,Phoenix Flame Enamel Pin,R2R-007,8.0,Enamel pin depicting a phoenix with flames. Color scheme: Red and Gold.,Reincarnated2Resist > Accessories,https://assets.omniversalmedia.vip/src/images/R2R-007/Phoenix_Flame_Enamel_Pin_front.png,,R2R-007,,,phoenix-flame-enamel-pin,
never-surrender-wristband,Never Surrender Wristband,R2R-008,5.0,Red silicone wristband embossed with Never Surrender. Color scheme: Red and White.,Reincarnated2Resist > Accessories,https://assets.omniversalmedia.vip/src/images/R2R-008/Never_Surrender_Wristband_front.png,,R2R-008,,,never-surrender-wristband,
embroidered-rebel-patch,Embroidered Rebel Patch,R2R-009,6.0,Embroidered patch with the Reincarnated2Resist phoenix emblem. Color scheme: Black and Orange.,Reincarnated2Resist > Accessories,https://assets.omniversalmedia.vip/src/images/R2R-009/Embroidered_Rebel_Patch_front.png,,R2R-009,,,embroidered-rebel-patch,
freedom-bandana,Freedom Bandana,R2R-010,10.0,Black bandana printed with a white phoenix and protest slogans. Color scheme: Black and White.,Reincarnated2Resist > Accessories,https://assets.omniversalmedia.vip/src/images/R2R-010/Freedom_Bandana_front.png,,R2R-010,,,freedom-bandana,
phoenix-rising-poster,Phoenix Rising Poster,R2R-011,10.0,Poster of a phoenix rising with the text Reborn to Resist. Color scheme: Orange and Black.,Reincarnated2Resist > Posters,https://assets.omniversalmedia.vip/src/images/R2R-011/Phoenix_Rising_Poster_front.png,,R2R-011,,,phoenix-rising-poster,
fist-of-resistance-poster,Fist of Resistance Poster,R2R-012,12.0,Graphic poster featuring a large raised fist and rays of light. Color scheme: Red and Black.,Reincarnated2Resist > Posters,https://assets.omniversalmedia.vip/src/images/R2R-012/Fist_of_Resistance_Poster_front.png,,R2R-012,,,fist-of-resistance-poster,
rebellion-quote-poster,Rebellion Quote Poster,R2R-013,10.0,Poster with an inspirational resistance quote in bold typography. Color scheme: Black and White.,Reincarnated2Resist > Posters,https://assets.omniversalmedia.vip/src/images/R2R-013/Rebellion_Quote_Poster_front.png,,R2R-013,,,rebellion-quote-poster,
reincarnated2resist-logo-sticker,Reincarnated2Resist Logo Sticker,R2R-014,3.0,Sticker of the R2R logo with phoenix and bold text. Color scheme: Black and Red.,Reincarnated2Resist > Stickers,https://assets.omniversalmedia.vip/src/images/R2R-014/Reincarnated2Resist_Logo_Sticker_front.png,,R2R-014,,,reincarnated2resist-logo-sticker,
phoenix-emblem-sticker,Phoenix Emblem Sticker,R2R-015,4.0,Die-cut sticker of the fiery phoenix emblem alone. Color scheme: Orange and Yellow.,Reincarnated2Resist > Stickers,https://assets.omniversalmedia.vip/src/images/R2R-015/Phoenix_Emblem_Sticker_front.png,,R2R-015,,,phoenix-emblem-sticker,
